"<CHARNAME> does not stand alone, Melissan. It is time that this is ended.","<CHARNAME> no está sóla, Melissan. Es hora de acabar con esto."
"Ahhhhh, such feeling. I feel the life flow through me! Such a gift you carry Child of Bhaal... such power... such strength. Oh this is simply divine!","Ahhhhh, qué sensación. ¡Siento que la vida fluye por mis venas! Llevas tal regalo, Hija de Bhaal... tal poder... tal fuerza. ¡Oh esto es simplemente divino!"
"And so it is done. I believe you have made the right choice. I look forward to meeting you again on Faerun, <CHARNAME>...as a mortal and a true <PRO_BROTHERSISTER>.","Ya está hecho. Creo que habéis tomado la decisión correcta. Espero que nos encontremos de nuevo en Faerun, <CHARNAME>... como mortal y verdadera hermana."
"And so you take the road less traveled, <CHARNAME>. I cannot say I envy you. I hope the power brings you what you expect and desire, my friend. When I look up at the heavens and see the brightest star in the sky, I shall think of you and offer a prayer.","Así que tomáis el camino menos transitado, <CHARNAME>. No puedo decir que os envidie. Espero que el poder os traiga lo que ansiáis, amiga mía. Cuando mire el cielo y vea la estrella más brillante, pensaré en vos y rezaré una plegaria."
"But do not forget our deal. I am impatient for the piece of your soul you promised me. I have enjoyed our dance Child of Bhaal, but I tire of this place. Give me what I want so I may leave... we need not meet each other again, unless you wish it.","Pero no olvidéis nuestro pacto. Estoy impaciente por tener la porción de vuestra alma que me prometísteis. He disfrutado con nuestro baile, Hija de Bhaal, pero me canso de este sitio. Dadme lo que quiero para poder marcharme... no tenemos por qué vernos otra vez, a no ser que así lo deseéis."
"But perhaps I have resigned myself to a path that is not what it seems. You are... hardly what I expected for the last of the Bhaalspawn, <CHARNAME>. Perhaps there is hope... or perhaps I am only deluding myself.","Pero quizás me he resignado a un camino que no es lo que parece. Vos... no sois lo que esperaba como la última de los Engendros de Bhaal, <CHARNAME>.  Tal vez haya esperanza... o tal vez sólo me esté engañando a mi mismo."
"Fool! You think to betray me, Child of Bhaal? I refuse to return to the abyss. I shall rip every shred of that soul from your body! Let the dance end here!","¡Estúpida! ¿Pensáis traicionarme, Hija de Bhaal? Me niego a regresar al abismo. ¡Os arrancaré hasta el último vestigio de vuestra alma! ¡Que el baile se acabe aquí!"
"I am your <PRO_BROTHERSISTER>, Balthazar. Let us fight what is inevitable! We can work together!","Soy vuestra hermana, Balthazar. ¡Luchemos contra lo inevitable! ¡Podemos trabajar juntos!"
"I cannot pretend to know what you are thinking, now, of the decision you must make. Nor do I pretend to certainty that the taint would bring such a <PRO_MANWOMAN> such as yourself towards evil. Perhaps you would overcome that taint and be a good god, I cannot say.","No puedo pretender saber lo que estáis pensando ahora, de la decisión que debéis hacer. Ni puedo pretender saber si la mancha conduciría a una mujer como vos hacia el mal. Tal vez superaríais esa lacra y seríais un buen dios, no lo sé."
"I require satisfaction before the Child of Bhaal makes any sort of decision, creature. Both my brother and this... Melissan, lie dead. Your hunt has been delightfully successful, <CHARNAME>.","Quiero una respuesta antes de que la Hija de Bhaal tome una decisión, criatura. Tanto mi hermano como la tal... Melissan, están muertos. Vuestra caza ha sido de lo más exitosa, <CHARNAME>."
"I would expect no other response from a true <PRO_BROTHERSISTER> of mine. I know too well the thirst for death that comes with the taint of our sire. I have mastered it, but only barely... I pity those who are a slave to it.","No esperaría otra cosa de una verdadera hermana mío. Conozco demasiado bien la sed de muerte que conlleva la mancha de nuestro padre. La he dominado, pero a duras penas... Compadezco a los que son esclavos de ella."
"Irenicus, I believe you called him. So easily culled as my own, since you abandoned him here recently... and such a valuable source of information on you, <CHARNAME>. After all... I believe you did share a soul, once, no? Say hello to the dear <PRO_MANWOMAN>, Irenicus.","Irenicus, creo que le llamábais. Qué fácilmente se ha pasado a nuestro lado, puesto que aquí le abandonásteis recientemente... y qué fuente inagotable de información sobre vos ha resultado ser, <CHARNAME>. Después de todo... creo que compartísteis un alma en una ocasión, ¿no es así? Saluda a nuestra querida <PRO_MANWOMAN>, Irenicus."
"It is true. You are a good <PRO_MANWOMAN>, <CHARNAME>, and your stance against evil is without question. Your fight against the taint of our evil father is worthy of praise.","Es verdad. Sois una buena mujer, <CHARNAME>, y vuestra postura contra el mal está fuera de toda duda. Vuestra lucha contra la deshonra de nuestro malvado padre es digna de elogio."
